gameId,playerId,playerName,originalGroup,currentGroup,role,blockNum,phase,phaseNum,target,clicked,clickedCorrect,roundScore,roundId,trialNum,tangramSet,repNum
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEMA6765ECKJ6NX8GGDF2,Lika,C,C,speaker,0.0,refgame,1.0,page5-64,,,1.0,01KJ1AQCYDM9Z3ENWEZJTEG8X9,1.0,1.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AD4HAYZZ2TP80YYVT6CS2,Player,B,B,speaker,2.0,refgame,2.0,page3-85,,,2.0,01KJ1AQCXCR1XN4ASMBQ8XMYXG,52.0,1.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZ3BQAVZHF51FQ5WJ14K,Player,C,B,listener,4.0,refgame,2.0,page3-136,page3-136,True,2.0,01KJ1AQCW7K947FQTE1R7681KS,63.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36JHZG7RJW8JFPYPM1ZBSD,Laju,A,A,speaker,5.0,refgame,1.0,page9-46,,,2.0,01KJ36SA2A9SGW3CNY8YFN4JAZ,32.0,1.0,3.0
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36JHZG7RJW8JFPYPM1ZBSD,Player,A,C,listener,3.0,refgame,2.0,page3-136,page3-136,True,2.0,01KJ36S9ZE6KK584DD2HKQ6X53,58.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZ3BQAVZHF51FQ5WJ14K,Player,C,A,speaker,2.0,refgame,2.0,page5-64,,,2.0,01KJ1AQCN2CCTHBASZ2GVG7JR0,49.0,1.0,1.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AEJK9C91FE2EF1F6KAWDY,Player,B,B,listener,2.0,refgame,2.0,page9-27,page9-27,True,2.0,01KJ1AQCX80GTAJNHWWG4D0AZP,53.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36HPQGRRDA1JZ2BN1MDMN4,Player,A,B,listener,3.0,refgame,2.0,page3-85,page3-85,True,2.0,01KJ36SA5S3QQDMSSFR1J6Y0SA,55.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZ3BQAVZHF51FQ5WJ14K,Nori,C,C,listener,4.0,refgame,1.0,page5-64,,False,0.0,01KJ1AQD01P7NRDVWX5CHPTPPH,24.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AH433HDWM46XC8PJAA0A7,Minu,A,A,speaker,4.0,refgame,1.0,page3-136,,,2.0,01KJ1AQCZZJ06BHZ8FEPVVSTC2,25.0,1.0,3.0
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1AH433HDWM46XC8PJAA0A7,Player,A,C,listener,0.0,refgame,2.0,page5-64,page5-64,True,2.0,01KJ1AQCYQ9FV1QHKDYTHNQX9E,36.0,1.0,
01KJ121CTDA8X8M3KFS5Z0C2DA,01KJ1ADZ3BQAVZHF51FQ5WJ14K,Player,C,B,listener,3.0,refgame,2.0,page5-64,page5-64,True,2.0,01KJ1AQCWJZEKCXTJJS2YBW0ZF,58.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36H4JT5FXT099834BWVZ2X,Repi,A,A,listener,4.0,refgame,1.0,page5-64,page5-64,True,2.0,01KJ36SA1DR0T2MEJ3MT3JQ39S,24.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36F4YDX6CZ5RBVN7KN0VFA,Player,C,B,listener,0.0,refgame,2.0,page1-128,page1-128,True,2.0,01KJ36S9Z2HH6HJST21E4D4KGZ,36.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36FPQT07Q8H1HTHKNR9ZHN,Player,C,C,listener,5.0,refgame,2.0,page9-46,page9-46,True,2.0,01KJ36SABCK5MVA0EXCV6AA58N,69.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36ETQEFCRFP2MBHTV3TAYN,Zuda,B,B,listener,2.0,refgame,1.0,page5-64,page5-64,True,2.0,01KJ36SA2ZA50WTYR6WME7BX1Q,15.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36H4JT5FXT099834BWVZ2X,Repi,A,A,listener,4.0,refgame,1.0,page3-85,page3-85,True,2.0,01KJ36SA0SF7MFPNJ09NN2B60A,27.0,1.0,
01KJ33KJSZTPJ1ZX8A32CVKHSG,01KJ36HPQGRRDA1JZ2BN1MDMN4,Player,A,B,listener,3.0,refgame,2.0,page9-27,page9-27,True,2.0,01KJ36S9S2ZJ5G6V39V36Y8N06,54.0,1.0,
