playerId,batchId,ended,exitReason,quizAttempts
01KJN7B8QP8GZQ5W9670CC3PV0,,no more games,,
01KJN7C7VCFQC4JXN52F40Z89J,,no more games,,
01KJN7BWTRDD55WC02ECFYW9M1,,no more games,,
01KJN7F25HMABD0C5YK9JBD5SV,,no more games,,
01KJN7DAMDX3GZ4VK9YYP882AX,,no more games,,
01KJP3DE8R108EZX36Z81EN7Q3,01KJP22PWG1Y2G4YMBC8YXBSPW,game failed,,
01KJP2PRV46DQQTQVJ66PWY4GB,01KJP22PWG1Y2G4YMBC8YXBSPW,game failed,,
01KJP2REDJHC4H4YPYAS8KQGKR,01KJP22PWG1Y2G4YMBC8YXBSPW,game failed,quiz failed,
01KJP2RESSPZEDRGD88524BZFM,01KJP22PWG1Y2G4YMBC8YXBSPW,game failed,,
01KJP2TQG50RYTH1RJAEA3V4H3,01KJP22PWG1Y2G4YMBC8YXBSPW,game failed,quiz failed,
01KJP2Z031KGWYZ6T8TBZN9GCN,01KJP22PWG1Y2G4YMBC8YXBSPW,game failed,,
01KJP2ZK08317C35F0FJ0RYB4C,01KJP22PWG1Y2G4YMBC8YXBSPW,game failed,,
01KJP2R8R5M7QPP4AQN100EXAR,01KJP22PWG1Y2G4YMBC8YXBSPW,game failed,,
01KJP37ADF0JS5AB1EA7BMZF6T,,no more games,,
01KJP3YH2R8RT3ZQ8NKEV7TTK8,01KJP3SKQ8QF2K6B3STE25TPYH,game failed,,
01KJP2Q51Z7KB0T32GRSQJ1B10,,no more games,,
01KJP2R8QGFXSE6D3FZD53FMBD,01KJP22PWG1Y2G4YMBC8YXBSPW,game failed,,
01KJP2SW1DXMHRPQ9H6SZKN4ZX,01KJP22PWG1Y2G4YMBC8YXBSPW,game failed,,
01KJP31M8AB7CPSWGFX29VF1J3,,no more games,,
01KJP2XK9S62ECSSEY07TAD1BR,01KJP22PWG1Y2G4YMBC8YXBSPW,game failed,,
01KJP36X5MQCGR7PW1MK2KFES8,,no more games,,
