gameId,roundId,blockNum,phase,phaseNum,target,group,senderId,senderName,senderRole,text,timestamp,trialNum,tangramSet
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FA1TQ33CB0SW5804S0,0.0,refgame,1.0,page7-107,C,01KJN796KT7FCNV2F9QNCQDSES,Felu,listener,Is the Speaker there?,1772386671474,0.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FA1TQ33CB0SW5804S0,0.0,refgame,1.0,page7-107,B,01KJN79Y7T0VZNKHTSJRZWTDZ5,Hera,speaker,this shape has an open square in the middle,1772386672863,0.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FA1TQ33CB0SW5804S0,0.0,refgame,1.0,page7-107,A,01KJN78B0TFR8F59JDGD057XNS,Repi,speaker,"there is a diamond shape in the middle of this shape, towards its rightside. the left side has three spikes",1772386673008,0.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FJH6VAH8DMSYVN52WF,0.0,refgame,1.0,page5-28,A,01KJN78B0TFR8F59JDGD057XNS,Repi,speaker,this looks like a bottle that tipped over. the head is on the right side,1772386706088,1.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FJH6VAH8DMSYVN52WF,0.0,refgame,1.0,page5-28,C,01KJN796KT7FCNV2F9QNCQDSES,Felu,listener,Is there a Speaker?,1772386716354,1.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FJH6VAH8DMSYVN52WF,0.0,refgame,1.0,page5-28,B,01KJN79Y7T0VZNKHTSJRZWTDZ5,Hera,speaker,this shape has a large rectangle then a square and than a slanted square at the end,1772386724966,1.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FJH6VAH8DMSYVN52WF,0.0,refgame,1.0,page5-28,C,01KJN79ZDP3YNFFHHQA302PJDP,Nori,listener,I am not the speaker,1772386725830,1.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FN5PPN5PJKQY110P3Z,1.0,refgame,1.0,page5-28,A,01KJN791EPN054R2NTQQ1BFXJ5,Minu,speaker,bottle spilled over,1772387040494,7.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FN5PPN5PJKQY110P3Z,1.0,refgame,1.0,page5-28,B,01KJN788SPAKVVBHX9T9FDQWAF,Zuda,speaker,"Long rectangle, connected by a square then a diamond on its side",1772387051742,7.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FN5PPN5PJKQY110P3Z,1.0,refgame,1.0,page5-28,C,01KJN796KT7FCNV2F9QNCQDSES,Felu,speaker,Long recutanle on the left side,1772387058014,7.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FN5PPN5PJKQY110P3Z,1.0,refgame,1.0,page5-28,C,01KJN796KT7FCNV2F9QNCQDSES,Felu,speaker,rectangle,1772387064513,7.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FPBRARD9EVC2PVD07Q,1.0,refgame,1.0,page7-107,A,01KJN791EPN054R2NTQQ1BFXJ5,Minu,speaker,looks like a diamond that is white in center,1772387089243,8.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FPBRARD9EVC2PVD07Q,1.0,refgame,1.0,page7-107,B,01KJN788SPAKVVBHX9T9FDQWAF,Zuda,speaker,Diamond hole in the middle of this shape,1772387092655,8.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FPBRARD9EVC2PVD07Q,1.0,refgame,1.0,page7-107,A,01KJN791EPN054R2NTQQ1BFXJ5,Minu,speaker,spikes on left side of shape,1772387095002,8.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FPBRARD9EVC2PVD07Q,1.0,refgame,1.0,page7-107,C,01KJN796KT7FCNV2F9QNCQDSES,Felu,speaker,diamond in middle,1772387108377,8.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FY9W5FE9ETY2P4WBNM,5.0,refgame,1.0,page7-107,B,01KJN78CQJ3KY7VMGAR6F3D4S0,Bavi,speaker,diamond cutout,1772388085637,30.0,0.0
01KJN6MMPQTMDYRN709968YFN1,01KJN7K5FY9W5FE9ETY2P4WBNM,5.0,refgame,1.0,page7-107,C,01KJN79ZDP3YNFFHHQA302PJDP,Nori,speaker,Diamond shaped item from earlier,1772388090375,30.0,0.0
