id,batchID,batchIDLastChangedAt,block_num,block_numLastChangedAt,chat,chatLastChangedAt,clicked,clickedLastChangedAt,clicked_correct,clicked_correctLastChangedAt,current_group,current_groupLastChangedAt,display_avatar,display_avatarLastChangedAt,display_name,display_nameLastChangedAt,gameID,gameIDLastChangedAt,name,nameLastChangedAt,original_group,original_groupLastChangedAt,phase,phaseLastChangedAt,phase_num,phase_numLastChangedAt,playerID,playerIDLastChangedAt,role,roleLastChangedAt,roundID,roundIDLastChangedAt,round_score,round_scoreLastChangedAt,social_guess,social_guessLastChangedAt,social_guess_correct,social_guess_correctLastChangedAt,social_original_group_listeners,social_original_group_listenersLastChangedAt,social_recognized_count,social_recognized_countLastChangedAt,social_round_score,social_round_scoreLastChangedAt,speaker_was_same_group,speaker_was_same_groupLastChangedAt,target,targetLastChangedAt,_sourceRun
01KJN87FS8NS6TT37S7KTV19TX,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:48:06.824091767Z,2.0,2026-03-01T17:48:06.905036949Z,"[{""id"":""01KJN792W85XPK9QGH8A6HSYSJ-1772387294523"",""text"":""Hello"",""timestamp"":1772387294523,""sender"":{""id"":""01KJN792W85XPK9QGH8A6HSYSJ"",""name"":""Zuda (Listener)"",""avatar"":""https://api.dicebear.com/9.x/identicon/svg?seed=kaylee&backgroundColor=e0f2fe&rowColor=0369a1""}},{""id"":""01KJN7A44GGBE9XR412KV5BFSC-1772387305993"",""text"":""rectangle on side with protrusion to right"",""timestamp"":1772387305993,""sender"":{""id"":""01KJN7A44GGBE9XR412KV5BFSC"",""name"":""Bavi (Speaker)"",""avatar"":""https://api.dicebear.com/9.x/identicon/svg?seed=alexandra&backgroundColor=e0f2fe&rowColor=0369a1""}}]",2026-03-01T17:48:44.338464254Z,,,,,B,2026-03-01T17:48:06.905036949Z,https://api.dicebear.com/9.x/identicon/svg?seed=alexandra&backgroundColor=e0f2fe&rowColor=0369a1,2026-03-01T17:48:06.905036949Z,Bavi,2026-03-01T17:48:06.905036949Z,01KJN6MMQ03KZPZN0275VZXK6R,2026-03-01T17:48:06.824091767Z,Bavi,2026-03-01T17:48:06.905036949Z,B,2026-03-01T17:48:06.905036949Z,refgame,2026-03-01T17:48:06.905036949Z,1.0,2026-03-01T17:48:06.905036949Z,01KJN7A44GGBE9XR412KV5BFSC,2026-03-01T17:48:06.824091767Z,speaker,2026-03-01T17:48:06.905036949Z,01KJN7JHZM2WM100YZYN6HXHWY,2026-03-01T17:48:06.824091767Z,2.0,2026-03-01T17:48:44.338464254Z,,,,,,,,,,,,,page5-28,2026-03-01T17:48:06.905036949Z,20260301_132907
01KJN8V8RMJHM4HMMQJ43AY3D0,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:58:54.996613257Z,4.0,2026-03-01T17:58:55.060973753Z,"[{""id"":""01KJN791EPN054R2NTQQ1BFXJ5-1772387942919"",""text"":""white diamond cut out"",""timestamp"":1772387942919,""sender"":{""id"":""01KJN791EPN054R2NTQQ1BFXJ5"",""name"":""Minu (Speaker)"",""avatar"":""https://api.dicebear.com/9.x/identicon/svg?seed=katherine&backgroundColor=e0f2fe&rowColor=0369a1""}},{""id"":""01KJN791EPN054R2NTQQ1BFXJ5-1772387946887"",""text"":""looks like mario fireball"",""timestamp"":1772387946887,""sender"":{""id"":""01KJN791EPN054R2NTQQ1BFXJ5"",""name"":""Minu (Speaker)"",""avatar"":""https://api.dicebear.com/9.x/identicon/svg?seed=katherine&backgroundColor=e0f2fe&rowColor=0369a1""}}]",2026-03-01T17:59:15.295648134Z,,,,,A,2026-03-01T17:58:55.060973753Z,https://api.dicebear.com/9.x/identicon/svg?seed=katherine&backgroundColor=e0f2fe&rowColor=0369a1,2026-03-01T17:58:55.060973753Z,Minu,2026-03-01T17:58:55.060973753Z,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T17:58:54.996613257Z,Minu,2026-03-01T17:58:55.060973753Z,A,2026-03-01T17:58:55.060973753Z,refgame,2026-03-01T17:58:55.060973753Z,1.0,2026-03-01T17:58:55.060973753Z,01KJN791EPN054R2NTQQ1BFXJ5,2026-03-01T17:58:54.996613257Z,speaker,2026-03-01T17:58:55.060973753Z,01KJN7K5G2ENPCM8MXBD0JEWNB,2026-03-01T17:58:54.996613257Z,2.0,2026-03-01T17:59:15.295648134Z,,,,,,,,,,,,,page7-107,2026-03-01T17:58:55.060973753Z,20260301_132907
01KJN97DPBSVBTVEYXF5PP2TEE,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T18:05:33.259083965Z,3.0,2026-03-01T18:05:33.409940586Z,"[{""id"":""01KJN79ZQD1E4YD03FE5CGJY8K-1772388352807"",""text"":""[raying"",""timestamp"":1772388352807,""sender"":{""id"":""01KJN79ZQD1E4YD03FE5CGJY8K"",""name"":""Lika (Speaker)"",""avatar"":""https://api.dicebear.com/9.x/identicon/svg?seed=cole&backgroundColor=e0f2fe&rowColor=0369a1""}}]",2026-03-01T18:05:53.901335031Z,page-B,2026-03-01T18:05:53.686621935Z,True,2026-03-01T18:05:53.901335031Z,C,2026-03-01T18:05:33.409940586Z,https://api.dicebear.com/9.x/identicon/svg?seed=morgan&backgroundColor=e0f2fe&rowColor=0369a1,2026-03-01T18:05:33.409940586Z,Nori,2026-03-01T18:05:33.409940586Z,01KJN6MMPQTMDYRN709DP5DSDA,2026-03-01T18:05:33.259083965Z,Nori,2026-03-01T18:05:33.409940586Z,C,2026-03-01T18:05:33.409940586Z,refgame,2026-03-01T18:05:33.409940586Z,2.0,2026-03-01T18:05:33.409940586Z,01KJN7931DXZ65NXTWK1GNEZMW,2026-03-01T18:05:33.259083965Z,listener,2026-03-01T18:05:33.409940586Z,01KJN7KZ53A9914CYGA6DKSVTE,2026-03-01T18:05:33.259083965Z,2.0,2026-03-01T18:05:53.901335031Z,,,,,,,,,,,,,page-B,2026-03-01T18:05:33.409940586Z,20260301_132907
01KJN9FXHTV2PB75M1RCGGETP4,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T18:10:11.642815486Z,,,,,,,,,,,,,,,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T18:10:11.642815486Z,,,,,,,,,01KJN796KT7FCNV2F9QNCQDSES,2026-03-01T18:10:11.642815486Z,,,01KJN7K5HCEVM6Q4JCTG9KFQNS,2026-03-01T18:10:11.642815486Z,,,,,,,,,,,,,,,,,20260301_132907
01KJN9HSHDYE48AE9WGA3FX7SE,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T18:11:13.069288505Z,2.0,2026-03-01T18:11:13.15209568Z,"[{""id"":""01KJN78JVY5FN5QXW9XGGE72RG-1772388682058"",""text"":""tipped bottle"",""timestamp"":1772388682058,""sender"":{""id"":""01KJN78JVY5FN5QXW9XGGE72RG"",""name"":""Player (Speaker)"",""avatar"":""https://api.dicebear.com/9.x/shapes/svg?seed=anon_block2_trial2_player3&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563""}}]",2026-03-01T18:11:31.850176046Z,,,,,B,2026-03-01T18:11:13.15209568Z,https://api.dicebear.com/9.x/shapes/svg?seed=anon_block2_trial2_player3&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563,2026-03-01T18:11:13.15209568Z,Player,2026-03-01T18:11:13.15209568Z,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T18:11:13.069288505Z,Player,2026-03-01T18:11:13.15209568Z,A,2026-03-01T18:11:13.15209568Z,refgame,2026-03-01T18:11:13.15209568Z,2.0,2026-03-01T18:11:13.15209568Z,01KJN78JVY5FN5QXW9XGGE72RG,2026-03-01T18:11:13.069288505Z,speaker,2026-03-01T18:11:13.15209568Z,01KJN7K5H5ZRHXSPNRV2ZHHSXR,2026-03-01T18:11:13.069288505Z,2.0,2026-03-01T18:11:31.850176046Z,,,,,,,,,,,,,page5-28,2026-03-01T18:11:13.15209568Z,20260301_132907
01KJN9PGNTXA9A3NRY7HZD0J4M,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T18:13:47.835016888Z,,,,,,,,,,,,,,,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T18:13:47.835016888Z,,,,,,,,,01KJN79ZDP3YNFFHHQA302PJDP,2026-03-01T18:13:47.835016888Z,,,01KJN7K5KSEZZTN34AR4PS7YC7,2026-03-01T18:13:47.835016888Z,,,,,,,,,,,,,,,,,20260301_132907
01KJN9RP1R2S2BCBTFMNNPPDZ1,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T18:14:58.872267429Z,4.0,2026-03-01T18:14:59.059310955Z,"[{""id"":""01KJN791EPN054R2NTQQ1BFXJ5-1772388907461"",""text"":""triangle facing right"",""timestamp"":1772388907461,""sender"":{""id"":""01KJN791EPN054R2NTQQ1BFXJ5"",""name"":""Player (Speaker)"",""avatar"":""https://api.dicebear.com/9.x/shapes/svg?seed=anon_block4_trial1_player4&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563""}},{""id"":""01KJN791EPN054R2NTQQ1BFXJ5-1772388908999"",""text"":""on top"",""timestamp"":1772388908999,""sender"":{""id"":""01KJN791EPN054R2NTQQ1BFXJ5"",""name"":""Player (Speaker)"",""avatar"":""https://api.dicebear.com/9.x/shapes/svg?seed=anon_block4_trial1_player4&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563""}}]",2026-03-01T18:15:15.0439545Z,page7-255,2026-03-01T18:15:12.756808413Z,True,2026-03-01T18:15:15.0439545Z,B,2026-03-01T18:14:59.059310955Z,https://api.dicebear.com/9.x/shapes/svg?seed=anon_block4_trial1_player3&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563,2026-03-01T18:14:59.059310955Z,Player,2026-03-01T18:14:59.059310955Z,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T18:14:58.872267429Z,Player,2026-03-01T18:14:59.059310955Z,A,2026-03-01T18:14:59.059310955Z,refgame,2026-03-01T18:14:59.059310955Z,2.0,2026-03-01T18:14:59.059310955Z,01KJN78JVY5FN5QXW9XGGE72RG,2026-03-01T18:14:58.872267429Z,listener,2026-03-01T18:14:59.059310955Z,01KJN7K5KA3E984TAA3QPV7RDV,2026-03-01T18:14:58.872267429Z,2.0,2026-03-01T18:15:15.0439545Z,,,,,,,,,,,,,page7-255,2026-03-01T18:14:59.059310955Z,20260301_132907
01KJN9TK9T0QKSSKN6XBB6ZQKZ,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T18:16:01.594100933Z,4.0,2026-03-01T18:16:01.827315759Z,"[{""id"":""01KJN788SPAKVVBHX9T9FDQWAF-1772388965527"",""text"":""praying"",""timestamp"":1772388965527,""sender"":{""id"":""01KJN788SPAKVVBHX9T9FDQWAF"",""name"":""Player (Speaker)"",""avatar"":""https://api.dicebear.com/9.x/shapes/svg?seed=anon_block4_trial4_player3&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563""}},{""id"":""01KJN788SPAKVVBHX9T9FDQWAF-1772388967104"",""text"":""girl?"",""timestamp"":1772388967104,""sender"":{""id"":""01KJN788SPAKVVBHX9T9FDQWAF"",""name"":""Player (Speaker)"",""avatar"":""https://api.dicebear.com/9.x/shapes/svg?seed=anon_block4_trial4_player3&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563""}}]",2026-03-01T18:16:12.846118007Z,,,,,B,2026-03-01T18:16:01.827315759Z,https://api.dicebear.com/9.x/shapes/svg?seed=anon_block4_trial4_player3&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563,2026-03-01T18:16:01.827315759Z,Player,2026-03-01T18:16:01.827315759Z,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T18:16:01.594100933Z,Player,2026-03-01T18:16:01.827315759Z,B,2026-03-01T18:16:01.827315759Z,refgame,2026-03-01T18:16:01.827315759Z,2.0,2026-03-01T18:16:01.827315759Z,01KJN788SPAKVVBHX9T9FDQWAF,2026-03-01T18:16:01.594100933Z,speaker,2026-03-01T18:16:01.827315759Z,01KJN7K5K20BTBV5B0XHZTHSK8,2026-03-01T18:16:01.594100933Z,2.0,2026-03-01T18:16:12.846118007Z,,,,,,,,,,,,,page-B,2026-03-01T18:16:01.827315759Z,20260301_132907
01KJN9WGJXF48516ATYMW38GYZ,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T18:17:04.349922855Z,5.0,2026-03-01T18:17:04.534969023Z,"[{""id"":""01KJN78JVY5FN5QXW9XGGE72RG-1772389034430"",""text"":""bunny"",""timestamp"":1772389034430,""sender"":{""id"":""01KJN78JVY5FN5QXW9XGGE72RG"",""name"":""Player (Speaker)"",""avatar"":""https://api.dicebear.com/9.x/shapes/svg?seed=anon_block5_trial1_player0&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563""}},{""id"":""01KJN791EPN054R2NTQQ1BFXJ5-1772389038898"",""text"":""huh"",""timestamp"":1772389038898,""sender"":{""id"":""01KJN791EPN054R2NTQQ1BFXJ5"",""name"":""Player (Listener)"",""avatar"":""https://api.dicebear.com/9.x/shapes/svg?seed=anon_block5_trial1_player1&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563""}},{""id"":""01KJN78JVY5FN5QXW9XGGE72RG-1772389044860"",""text"":""triangle facing right on jumble"",""timestamp"":1772389044860,""sender"":{""id"":""01KJN78JVY5FN5QXW9XGGE72RG"",""name"":""Player (Speaker)"",""avatar"":""https://api.dicebear.com/9.x/shapes/svg?seed=anon_block5_trial1_player0&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563""}}]",2026-03-01T18:17:24.618053895Z,,,,,A,2026-03-01T18:17:04.534969023Z,https://api.dicebear.com/9.x/shapes/svg?seed=anon_block5_trial1_player0&backgroundColor=e5e7eb&shape1Color=9ca3af&shape2Color=6b7280&shape3Color=4b5563,2026-03-01T18:17:04.534969023Z,Player,2026-03-01T18:17:04.534969023Z,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T18:17:04.349922855Z,Player,2026-03-01T18:17:04.534969023Z,A,2026-03-01T18:17:04.534969023Z,refgame,2026-03-01T18:17:04.534969023Z,2.0,2026-03-01T18:17:04.534969023Z,01KJN78JVY5FN5QXW9XGGE72RG,2026-03-01T18:17:04.349922855Z,speaker,2026-03-01T18:17:04.534969023Z,01KJN7K5QNDHCB49S4Q90QXRYG,2026-03-01T18:17:04.349922855Z,2.0,2026-03-01T18:17:24.618053895Z,,,,,,,,,,,,,page7-255,2026-03-01T18:17:04.534969023Z,20260301_132907
01KJN7KEKYTS4QKNRY635QKMGW,01KJN6MMNFZE55V1CSSMTQD90D,2026-03-01T17:37:10.270138518Z,0.0,2026-03-01T17:37:10.289516357Z,"[{""id"":""01KJN796KT7FCNV2F9QNCQDSES-1772386671474"",""text"":""Is the Speaker there?"",""timestamp"":1772386671474,""sender"":{""id"":""01KJN796KT7FCNV2F9QNCQDSES"",""name"":""Felu (Listener)"",""avatar"":""https://api.dicebear.com/9.x/identicon/svg?seed=noah&backgroundColor=e0f2fe&rowColor=0369a1""}}]",2026-03-01T17:37:55.505499425Z,,,False,2026-03-01T17:37:55.505499425Z,C,2026-03-01T17:37:10.289516357Z,https://api.dicebear.com/9.x/identicon/svg?seed=noah&backgroundColor=e0f2fe&rowColor=0369a1,2026-03-01T17:37:10.289516357Z,Felu,2026-03-01T17:37:10.289516357Z,01KJN6MMPQTMDYRN709968YFN1,2026-03-01T17:37:10.270138518Z,Felu,2026-03-01T17:37:10.289516357Z,C,2026-03-01T17:37:10.289516357Z,refgame,2026-03-01T17:37:10.289516357Z,1.0,2026-03-01T17:37:10.289516357Z,01KJN796KT7FCNV2F9QNCQDSES,2026-03-01T17:37:10.270138518Z,listener,2026-03-01T17:37:10.289516357Z,01KJN7K5FA1TQ33CB0SW5804S0,2026-03-01T17:37:10.270138518Z,0.0,2026-03-01T17:37:55.505499425Z,,,,,,,,,,,,,page7-107,2026-03-01T17:37:10.289516357Z,20260301_132907
