gameId,target,blockNum,playerId,originalGroup,dominantTermSource,totalSpecificTermsUsed,usesOwnGroupTerms,condition,nTermsFromA,nTermsFromB,nTermsFromC
01KJN6MMPQTMDYRN709968YFN1,page3-35,2,01KJN78CQJ3KY7VMGAR6F3D4S0,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page3-35,2,01KJN78JVY5FN5QXW9XGGE72RG,A,B,1,0,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page7-255,1,01KJN788SPAKVVBHX9T9FDQWAF,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page7-255,1,01KJN791EPN054R2NTQQ1BFXJ5,A,C,3,1,refer_mixed,1,0,2
01KJN6MMPQTMDYRN709968YFN1,page5-28,2,01KJN78CQJ3KY7VMGAR6F3D4S0,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page5-28,2,01KJN78JVY5FN5QXW9XGGE72RG,A,A,2,1,refer_mixed,2,0,0
01KJN6MMPQTMDYRN709968YFN1,page7-107,4,01KJN788SPAKVVBHX9T9FDQWAF,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page7-107,1,01KJN788SPAKVVBHX9T9FDQWAF,B,tied,2,1,refer_mixed,1,1,0
01KJN6MMPQTMDYRN709968YFN1,page7-107,1,01KJN791EPN054R2NTQQ1BFXJ5,A,A,2,1,refer_mixed,2,0,0
01KJN6MMPQTMDYRN709968YFN1,page7-255,0,01KJN78B0TFR8F59JDGD057XNS,A,tied,2,1,refer_mixed,1,0,1
01KJN6MMPQTMDYRN709968YFN1,page7-255,0,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page9-46,0,01KJN78B0TFR8F59JDGD057XNS,A,tied,2,1,refer_mixed,1,0,1
01KJN6MMPQTMDYRN709968YFN1,page9-46,0,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,tied,3,1,refer_mixed,1,1,1
01KJN6MMPQTMDYRN709968YFN1,page7-107,0,01KJN78B0TFR8F59JDGD057XNS,A,A,2,1,refer_mixed,2,0,0
01KJN6MMPQTMDYRN709968YFN1,page7-107,0,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,A,1,0,refer_mixed,1,0,0
01KJN6MMPQTMDYRN709968YFN1,page5-28,0,01KJN78B0TFR8F59JDGD057XNS,A,A,2,1,refer_mixed,2,0,0
01KJN6MMPQTMDYRN709968YFN1,page5-28,0,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page7-107,3,01KJN78B0TFR8F59JDGD057XNS,A,none,0,0,refer_mixed,0,0,0
01KJN6MMPQTMDYRN709968YFN1,page7-107,3,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,tied,2,1,refer_mixed,1,1,0
01KJN6MMPQTMDYRN709968YFN1,page7-255,3,01KJN78B0TFR8F59JDGD057XNS,A,tied,3,1,refer_mixed,1,1,1
01KJN6MMPQTMDYRN709968YFN1,page7-255,3,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page-B,4,01KJN788SPAKVVBHX9T9FDQWAF,B,tied,2,1,refer_mixed,1,1,0
01KJN6MMPQTMDYRN709968YFN1,page-B,4,01KJN791EPN054R2NTQQ1BFXJ5,A,A,3,1,refer_mixed,2,1,0
01KJN6MMPQTMDYRN709968YFN1,page3-35,3,01KJN78B0TFR8F59JDGD057XNS,A,tied,2,1,refer_mixed,1,1,0
01KJN6MMPQTMDYRN709968YFN1,page3-35,3,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page3-35,4,01KJN788SPAKVVBHX9T9FDQWAF,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page3-35,4,01KJN791EPN054R2NTQQ1BFXJ5,A,tied,2,1,refer_mixed,1,1,0
01KJN6MMPQTMDYRN709968YFN1,page7-255,2,01KJN78CQJ3KY7VMGAR6F3D4S0,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page7-255,2,01KJN78JVY5FN5QXW9XGGE72RG,A,A,3,1,refer_mixed,3,0,0
01KJN6MMPQTMDYRN709968YFN1,page7-255,4,01KJN788SPAKVVBHX9T9FDQWAF,B,B,1,1,refer_mixed,0,1,0
01KJN6MMPQTMDYRN709968YFN1,page7-255,4,01KJN791EPN054R2NTQQ1BFXJ5,A,A,3,1,refer_mixed,2,0,1
01KJN6MMPQTMDYRN709968YFN1,page5-28,3,01KJN78B0TFR8F59JDGD057XNS,A,A,2,1,refer_mixed,2,0,0
